"desarroll de una herramient par el monitore de event y activ de usuari en aplic web","la final del present trabaj especial de grad cons en el desarroll de una herramient con la capac de: realiz el monitore de event y accion de usuari durant su interaccion con aplic y siti web y gener inform que pued ser utiliz posterior con multipl proposit par ello se aplic una adapt del model de desarroll en casc baj una metodolog ad hoc la cual se realiz en cinc fases: descripcion de requer analisis diseñ implement y final la fas de prueb de la herramient desarroll com result final se obtuv una herramient de facil integr con la capac de realiz el proces de grabacion de event y accion relev de los usuari llev a cab reproduccion automat de dich grabacion y gener report con inform de util acerc de las activ registr por los usuari de cualqui aplic web","monitore de usuari reproduccion automat event grabacion javascript pag tagging document object model dom","aplicaciones internet"
"implement del protocol secur neighbor discovery send","el protocol ipv6 defin la interaccion entre los nod que resid en un mism enlac a traves del proces de descubr de vecin neighbor discovery los mensaj intercambi durant este descubr inclu inform import acerc de la red y pued dar lug a divers ataqu que compromet el correct funcion de los nod del enlac en este trabaj especial de grad se desarroll una aplic que permit asegur los mensaj envi por los nod durant el proces de descubr de vecin al utiliz el protocol send ademas se desarroll una herramient que permit gener y verific direccion cga cryptographicall y generat addressesel trabaj se realiz en bas a las teor sobr los protocol y mecan de segur que garantiz la proteccion de los mensaj de neighbor discovery durant la implement de la aplic se utiliz la metodolog de desarroll de softwar llam enfoqu en casc que contempl las fas de: analisis desarroll implement y prueb necesari par comprob el funcionamientod la aplic send desarroll es de hac not que el alcanc de esta implement de send sol abarc el intercambi de mensaj entre los hosts del enlac es dec que no involucr el descubr de los routers que pued estar present sin embarg podr serv com referent teoric a futur trabaj en el are en la cual pued inclu el proces de rout discovery y otras funcional que vay surg com product final se inclu el codig fuent la document de la aplic y el manual de usuari necesari par comprend el correct funcion de la aplic send asi com un virtual applianc que facilit la ejecu de prueb par un posterior analisis","ipv6 neighbor discovery criptograf firm digital segur cga","tecnologias en comunicaciones y redes de computadoras"
"sistem de inform par la planif de proyect","este trabaj especial de grad contempl el desarroll de un sistem de inform par la planif de proyect sigu el estand de la gui del pmbok projectmanagemet body of knowledg gui de fundament de la direccion de proyect par llev a cab este desarroll se utiliz el metod de investig de proyect factibl el cual en una de sus etap permit analiz y seleccion las herramient que se encuentr en el are de conoc de alcanc de la gui del pmbok el metod dedesarroll utiliz cons en entreg por etap el cual facilit el analisis diseñ e implement del sistem propuest se propus un metod de program que cons en un estand par organiz la estructur del codig del sistem se analiz las herramient y tecnic correspondient al are de alcanc par seleccion aquell que se implement en el sistem mencion una vez seleccion se llev a cab la implement de las mism y las prueb necesari par comprob su correct funcion","pmbok project managemet body of knowledg gui de fundament de la direccion de proyect","base de datos"
"sistem de autent sigil con terminal de administr","el proposit de este trabaj es implement un sistem de autent sigil bas en la premis de segur en profund tambien conocidacom segur en cap dich solucion se bas en agreg una cap de autent sigil a los esquem existent ya que de esta maner se pued reduc drastic los riesg a los cual estan expuest los servidor","segur cap","tecnologias en comunicaciones y redes de computadoras"
"desarroll de una herramient par la interpret simbol de maquin de soport vectorial entren","las maquin de soport vectorial svm son sistem de aprendizaj diseñ sobr la teor del aprendizaj estadist vapnik 1998 las cual han demostr pos una buen capac de generaliz sobr dat real sin embarg ellas gener model caj negr es dec el conoc que adquier durant el aprendizaj es dificil de interpret desd el punt de vist del usuari en este trabaj se present una herramient par la interpret simbol de maquin de soport vectorial entren bas en al algoritm trep el cual permit la extraccion de arbol de decision a part de estas maquin de aprendizaj las prueb realiz muestr que los arbol de decision gener por la herramient pos un alto grad de fidel con el model aprend por la maquin de soport vectorial","maquin de soport vectorial extraccion de regl arbol de decision trep","inteligencia artificial"
"herramient par la extraccion automat de caracterist morfolog de espermatozoid human a part de imagen","el analisis de liqu seminal als o espermogram es un proced diagnost import par la salud ya que se constitu en un medi de evalu de la fertil masculin por otra part permit estim el funcion de diferent estructur del aparat reproduct lo que result convenient par dar seguimient a intervencion medic com la vasectom asi com otros cheque pre y post operatori en el als se realiz dos grup de prueb macroscop y microscop la evalu morfolog es una subprueb microscop que demand altos cost en termin de perici tiemp y esfuerz ademas de ser un proced vulner a vari fuent de error a part de la vigenci util e import de la evalu morfolog asi com de las dificultad asoci a este exam el proposit de esta investig fue constru una herramient que apoy al expert en la prueb par tal fin se defin un model de proces de imagen digital microscop del liqu seminal que identif y extra las caracterist a los espermatozoid present en la escen lueg del desarroll y definicion del model se realiz prueb con una muestr de 89 imagen tom en condicion similar al ambient de trabaj del expert los result indic una tas de error de segment de 769% confund element de las imagen con espermatozoid 669% de omision de espermatozoid present y 753% de error en la extraccion de caracterist product de la identif errone de las estructur del espermatozoid el desarroll del proyect constitu un aport que demuestr la factibil de desarroll este tip de tecnolog en el pais sin embarg mostr ser una activ complej que deb ser llev a cab con precaucion control las fuent de error requier de creativ e innov asi com del domini de los aspect tecnic relacion a la eficient en la ejecu de program en el comput","morfolog espermat inteligent artificial proces digital de imagen","inteligencia artificial"
"easy extractor: un sistem de clasif de inform de la web utiliz tecnic de extraccion de dat","la inform en la web se encuentr en cambi constant y sujet a la volatil de la red por lo que una pagin pued exist hoy per nomañan o encontr con un conten distint de esta maner surg laneces de extra almacen y clasific inform que el usuarioconsider import en la web en la actual exist algunasherramient que han solucion dich problemat entre las cualesmencion solvent y googl bloc de not sin embarg pued nosatisfac las neces de algun usuari el sistem easy extractor se cre com una herramient distint quen sol englob funcional de otras aplic sin que ofrec nuevasposibil a los usuari en el proces de desarroll de esta aplic serealiz una adapt de la metodolog extrem programming xp dentrod las cualidad con las que cuent este sistem son: compart informacioncon otros usuari export la inform a format pdf par sualmacenaj local intercambi comentari e ide con otros usuari demarc y almacenaj de inform e imagen par su posteriorrecuper entre otras","mozill xul web aplic servici web","aplicaciones internet"
"instanci de una solucion erp codig abiert par el sector salud ambulatori","en este trabaj se present par el sector salud ambulatori la adapt de un sistem enterpris resourc planning erp porqu se cre una plataform integr de tod la organiz par coordin los proces intern clav de la empres se decid adapt un erp par integr los proces del ambulatori en un sol sistem de softwar y que esa inform pued flu a traves de la organiz mejor la coordin eficient y tom de decision los erp pued ayud a cre una organiz mas uniform en la que tod el mund utilic proces e inform similar y evalu su trabaj en termin de estandar de desempeñ de tod la organiz los erp son muy dificil de implement con exit requier un cambi organizacional extens el uso de tecnolog complic precis altos cost inicial par obten benefici a larg plaz dificil de cuantific per una vez implement es muy dificil cambi los sistem empresarial laudon y laudon 2001la digitaliz de la histori clinic hc se ha convert durant los ultim años en el objet de la mayor part de los trabaj de la informat medic la sustitu de la hc tradicional en soport de papel por una histori clinic digital hcd respond a las neces de resolv los dos problem clasic de los archiv de hc com lo son en prim lug el crecimient continu del volum almacen que lleg a cre grav problem de espaci fisic y el inevit trasieg de document original con riesg de perd y de su deterior y en segund lug permit la transferent rap de la inform clinic existent de un pacient a punt lejan unific asi de hech la hc por encim de los limit de las institu asistencial ademas este trabaj sirv par pon a disposicion de los investig y de los planif sanitari esta inform clinic de form facil acces y tratabl","histori clinic digital erp enterpris resourc planning softwar libr","sistemas de informacion"
"diseñ y desarroll de una nuev aplic web par la escuel de comput de la univers central de venezuel con tecnolog ruby on rails","este trabaj de la facult de cienci de la univers central de venezuel tien com objet el desarroll de una aplic web par la escuel de comput que sirv com medi de difusion deinform institucional academ y de investig acces y de facil naveg usandoestandar de diseñ web actual y que cuent con funcional que facilit la actualiz de suconten deb a la naturalez de la aplic dond unas funcional deb ser del dominiopubl y otras sol dispon par usuari autoriz se sugier dos subsistem denominados: subsistem public y subsistem administr par llev a cab este objet se aplic herramient y tecnolog de desarroll web tal com rubyon rails hoj de estil en casc lenguaj extens de marc de hipertext en el cas de lasfuncional se uso la metodolog de desarroll proces unific agil adapt a las necesidadesd la aplic y par el diseñ se sigu aquell estandar actual de diseñ web lineamientosd usabil y patron de interaccion consider mas import","ucv escuel de comput aplic web tecnolog de desarroll web rubyon rails model agil metodolog de desarroll aup estandar de diseñ web usabil patronesd interaccion","aplicaciones internet"
"reingeni de un sistem de segund opinion medic par el proyect sos telemedicin par venezuel","uno de los servici fundamental en telemedicin es el de segund opinion medic com partedel proyect sos telemedicin ucv llev a cab por el centr de analisis de imagen biomed computariz se desarroll una aplicacion web que permit a los medic especial de los postgr de la facult de medicin de la univers central de venezuel atend consult de segund opinion medic gener por los medic rural de divers region del pais de esta maner se pued mejor la prestacion de servici de salud mediant la consult especializ remot lo que permit abarat cost y reduc tiemp de respuest en cas complej el sistem de segund opinion medic tien las siguient funcionalidades: a captur de la histori clinic de los pacientes; b transmision de la inform textual y multimedi par soport de los cas vide imagen y audio; c asign de los cas de acuerd a la especial o dificult de los mismos; dseguimient de los cas por part de los medic rural y de los especialistas; e intercambi de inform entre medic y preparacion de cas par posterior public el sistem esta desarroll sigu una arquitectur bas en servici soa y herramient de softwar libr l lo que permit la reutiliz de los component par otras aplic desarroll en la ucv en la actual exist una prueb pilot en los centr asistencial de juan grieg salamanc y coch tod en el estad nuev espart y un centr de triaj en el institut de medicin tropical de la ucv el objet de este trabaj es present el diseñ de la arquitectur un prototip funcional y las discusion del uso del sistem por part de los medic rural","aplic web telemedicin segund opinion medic","aplicaciones internet"
"elabor de un prototip de buscador de document academ de la facult de cienci","el present trabaj especial de grad abord el tem de la localiz de document electron con la inform solicit por los usuari en el marc conceptual se investig acerc de la maner en que funcion los grand buscador de internet los buscadoresm especif que oper en una sol comput y los format de document electron que estos manej en el marc aplic se desarroll un repositori y un buscador web de document electron los cual estan diseñ par alberg a los trabaj produc por los estudi de la facult de cienci de la univers central de venezuel el sistem desarroll en el marc aplic se llam busconest el cual es a su vez un subsistem de conest dedic exclus a los document digital relacion con trabaj academ durant el desarroll de la aplic se emple planteamient y solucion innov par los requer especif entre los principal aspect del desarroll de busconest ten el algoritm de orden la implement del manej de la persistent la ejecu de las consult la integr con conest y la increment del sistem entre otros","busconest conest bibliotec ruby on rails","aplicaciones internet"
